Title,URL handle,Description,Vendor,Product category,Type,Tags,Published on online store,Status,SKU,Barcode,Option1 name,Option1 value,Option1 Linked To,Option2 name,Option2 value,Option2 Linked To,Option3 name,Option3 value,Option3 Linked To,Price,Compare-at price,Cost per item,Charge tax,Tax code,Unit price total measure,Unit price total measure unit,Unit price base measure,Unit price base measure unit,Inventory tracker,Inventory quantity,Continue selling when out of stock,Weight value (grams),Weight unit for display,Requires shipping,Fulfillment service,Product image URL,Image position,Image alt text,Variant image URL,Gift card,SEO title,SEO description,Color (product.metafields.shopify.color-pattern),Google Shopping / Google product category,Google Shopping / Gender,Google Shopping / Age group,Google Shopping / Manufacturer part number (MPN),Google Shopping / Ad group name,Google Shopping / Ads labels,Google Shopping / Condition,Google Shopping / Custom product,Google Shopping / Custom label 0,Google Shopping / Custom label 1,Google Shopping / Custom label 2,Google Shopping / Custom label 3,Google Shopping / Custom label 4
Fez Winate Plate | Handcrafted Fez Clay Pottery – Natural Pigments & Traditional Moroccan Craftsmanship,fez-winate-plate-handcrafted-fez-clay-pottery-natural-pigments-traditional-moroccan-craftsmanship,"<meta charset=""UTF-8"">
<div data-mce-fragment=""1"" class=""ewa-rteLine"">
<meta charset=""UTF-8"">
<p>Step into the exclusive world of Fez Black Painted Pottery, where history doesn't just repeat itself; it gets a stylish upgrade every time. Born in the 15th century and still kicking, this collection is the last of its kind, stubbornly sticking to its labor-intensive roots because, let's face it, true artistry never takes shortcuts. It's where Moroccan zest meets Andalusian flair, with a dash of Arab sophistication, a sprinkle of African spirit, European elegance, and Berber boldness—all mixed into one fabulous cultural cocktail.</p>
<p>Time to make this beautiful plate: (fewer hours less for small sizes)</p>
<ul>
<li>Concept Design: 4 Hours</li>
<li>Clay Formation: 48 hours when sunny. 72-96 hours when rainy</li>
<li>On Clay Drawing: 1 - 3 hours depend on size</li>
<li>Coloring and firing: 36 hours</li>
<li>Drying: 24 hours when sunny and 48-72 hours days when rainy</li>
<li><strong>Total Hours to produce this beautiful piece: 116 hours</strong></li>
</ul>
<p>This isn't just pottery; it's a bohemian rhapsody, wrapped in a stylish enigma, dressed in traditional threads but with a modern twist. Crafted by artisans who've inherited more than just their father's eyes—they've got generations of trade secrets running through their veins. Thanks to the local mineral spa and that snooty grey clay exclusive to the region, we've unlocked the secret recipes to hues of blue and royal green that were once only the eye candy of Moroccan royal palaces. Now, we're democratizing luxury, because why should royals have all the fun? Get ready to add a touch of exclusive, handcrafted history to your home with our Fez <span data-mce-fragment=""1"">Black Painted</span> Pottery—it's tradition with a trendy twist.</p>
</div>
<div data-mce-fragment=""1"" class=""ewa-rteLine""></div>",Fez,,Plate,['Decor'],TRUE,Active,,,Title,Default Title,,,,,,,,97.00,,,TRUE,,,,,,shopify,,FALSE,998,g,TRUE,manual,https://cdn.shopify.com/s/files/1/0822/4905/6550/files/PhotoRoom_008_20240203_080250_e284823f-685e-4fc4-91fd-1241fde76c24.jpg?v=1707531952,1,Fez Winate Plate | Handcrafted Fez Clay Pottery – Natural Pigments & Traditional Moroccan Craftsmanship,,FALSE,Fez Winate Plate | Handcrafted Fez Clay Pottery – Natural Pigments & Traditional Moroccan Craftsmanship,"Step into the exclusive world of Fez Black Painted Pottery, where history doesn't just repeat itself; it gets a stylish upgrade every time. Born in the 15th century and still kicking, this collection is the last of its kind, stubbornly sticking to its labor-intensive roots because, let's face it, true artistry never...",,,,,,,,,,,,,,
,fez-winate-plate-handcrafted-fez-clay-pottery-natural-pigments-traditional-moroccan-craftsmanship,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0822/4905/6550/files/PhotoRoom_007_20240203_080250_8d5f8f4e-46a2-44ab-83e6-2d7c030a6775.jpg?v=1707531952,2,Fez Winate Plate | Handcrafted Fez Clay Pottery – Natural Pigments & Traditional Moroccan Craftsmanship,,,,,,,,,,,,,,,,,,
,fez-winate-plate-handcrafted-fez-clay-pottery-natural-pigments-traditional-moroccan-craftsmanship,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0822/4905/6550/files/PhotoRoom_006_20240203_080250_f0dd5cec-472c-45bb-927c-b4ad95a876f9.jpg?v=1707531952,3,Fez Winate Plate | Handcrafted Fez Clay Pottery – Natural Pigments & Traditional Moroccan Craftsmanship,,,,,,,,,,,,,,,,,,
Sergi Beldi Tajine| Handcrafted Safi Clay Pottery – Natural Pigments & Traditional Moroccan Craftsmanship,sergi-beldi-tajine-handcrafted-safi-clay-pottery-natural-pigments-traditional-moroccan-craftsmanship,"<meta charset=""UTF-8"">
<div class=""ewa-rteLine"" data-mce-fragment=""1"">This Safi marvel isn't just a tajine, it's a hallmark to centuries old tradition! Handmade from Moroccan red Safi clay and decked out in a zesty color palette with snazzy Moroccan patterns, it's the perfect piece to jazz up your space and wow your guests. Warning: It may steal the spotlight from your other decor! Safi Ceramics - Legacy of Artistry and Color.
<div class=""ewa-rteLine"" data-mce-fragment=""1""> </div>
<div class=""ewa-rteLine"" data-mce-fragment=""1"">Size and color may vary slightly as each piece is hand-thrown and hand-glazed. </div>
<div class=""ewa-rteLine"" data-mce-fragment=""1""> </div>
<div class=""ewa-rteLine"" data-mce-fragment=""1"">
<strong>For Aficionados of Authenticity and Elegance:</strong><br>
</div>
</div>
<div class=""ewa-rteLine"" data-mce-fragment=""1"">Designed for those who cherish a blend of authenticity, artistic flair, and sophistication, our Safi Ceramics are perfect for enhancing any space with a touch of Moroccan elegance.</div>
<div class=""ewa-rteLine"" data-mce-fragment=""1"">
<strong></strong><br>
</div>",Asfi,,Tajine,['Kitchenware'],TRUE,Active,,,Color,Navy,,,,,,,,175.00,,,TRUE,,,,,,shopify,,FALSE,0,,TRUE,manual,https://cdn.shopify.com/s/files/1/0822/4905/6550/files/PhotoRoom_024_20240128_091915_21592872-e8ca-429f-ab2f-767b209dff1f.jpg?v=1707274402,1,Sergi Beldi Tajine| Handcrafted Safi Clay Pottery – Natural Pigments & Traditional Moroccan Craftsmanship,https://cdn.shopify.com/s/files/1/0822/4905/6550/files/PhotoRoom_025_20240128_091915_09d58d3c-fb96-460a-b193-b90c5b66c766.jpg?v=1707274402,FALSE,Sergi Beldi Tajine| Handcrafted Safi Clay Pottery – Natural Pigments & Traditional Moroccan Craftsmanship,"This Safi marvel isn't just a tajine, it's a hallmark to centuries old tradition! Handmade from Moroccan red Safi clay and decked out in a zesty color palette with snazzy Moroccan patterns, it's the perfect piece to jazz up your space and wow your guests. Warning: It may steal the spotlight from your other decor! Sa...",,,,,,,,,,,,,,
,sergi-beldi-tajine-handcrafted-safi-clay-pottery-natural-pigments-traditional-moroccan-craftsmanship,,,,,,,,,,,Turquoise,,,,,,,,175.00,,,TRUE,,,,,,shopify,,FALSE,0,,TRUE,manual,,,,https://cdn.shopify.com/s/files/1/0822/4905/6550/files/PhotoRoom_021_20240128_091915_9e6c2c56-1b1f-4ce2-88ba-dd93e0b8f4a9.jpg?v=1707274403,,,,,,,,,,,,,,,,,
,sergi-beldi-tajine-handcrafted-safi-clay-pottery-natural-pigments-traditional-moroccan-craftsmanship,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0822/4905/6550/files/PhotoRoom_023_20240128_091915_797af870-c5dd-4b23-a385-7c31d2b57288.jpg?v=1707274402,2,Sergi Beldi Tajine| Handcrafted Safi Clay Pottery – Natural Pigments & Traditional Moroccan Craftsmanship,,,,,,,,,,,,,,,,,,
,sergi-beldi-tajine-handcrafted-safi-clay-pottery-natural-pigments-traditional-moroccan-craftsmanship,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0822/4905/6550/files/PhotoRoom_025_20240128_091915_09d58d3c-fb96-460a-b193-b90c5b66c766.jpg?v=1707274402,3,Sergi Beldi Tajine| Handcrafted Safi Clay Pottery – Natural Pigments & Traditional Moroccan Craftsmanship,,,,,,,,,,,,,,,,,,
,sergi-beldi-tajine-handcrafted-safi-clay-pottery-natural-pigments-traditional-moroccan-craftsmanship,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0822/4905/6550/files/PhotoRoom_022_20240128_091915_186ea209-7dbc-4d5e-a6e1-cd6475666063.jpg?v=1707274402,4,Sergi Beldi Tajine| Handcrafted Safi Clay Pottery – Natural Pigments & Traditional Moroccan Craftsmanship,,,,,,,,,,,,,,,,,,
,sergi-beldi-tajine-handcrafted-safi-clay-pottery-natural-pigments-traditional-moroccan-craftsmanship,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0822/4905/6550/files/PhotoRoom_021_20240128_091915_9e6c2c56-1b1f-4ce2-88ba-dd93e0b8f4a9.jpg?v=1707274403,5,Sergi Beldi Tajine| Handcrafted Safi Clay Pottery – Natural Pigments & Traditional Moroccan Craftsmanship,,,,,,,,,,,,,,,,,,
Sergi Scented Oil Burner | Handcrafted Safi Clay Pottery – Natural Pigments & Traditional Moroccan Craftsmanship,sergi-scented-oil-burner-handcrafted-safi-clay-pottery-natural-pigments-traditional-moroccan-craftsmanship,"<meta charset=""UTF-8"">
<div class=""ewa-rteLine"" data-mce-fragment=""1"">
<div class=""ewa-rteLine"" data-mce-fragment=""1"">This Safi marvel isn't just an oil diffuser, it's a conversation starter! Handmade from Moroccan red Safi clay and decked out in a zesty color palette with snazzy Moroccan patterns, it's the perfect piece to jazz up your space and wow your guests. </div>
<div class=""ewa-rteLine"" data-mce-fragment=""1""> </div>
<div class=""ewa-rteLine"" data-mce-fragment=""1"">
<div class=""ewa-rteLine"" data-mce-fragment=""1""><span>Size and color may vary slightly as each piece is hand-thrown and hand-glazed.</span></div>
<div class=""ewa-rteLine"" data-mce-fragment=""1""> </div>
<div class=""ewa-rteLine"" data-mce-fragment=""1""><strong>For Aficionados of Authenticity and Elegance:</strong></div>
<div class=""ewa-rteLine"" data-mce-fragment=""1"">Designed for those who cherish a blend of authenticity, artistic flair, and sophistication, our Safi Ceramics are perfect for enhancing any space with a touch of Moroccan elegance.</div>
</div>
</div>
<div class=""ewa-rteLine"" data-mce-fragment=""1"">
<strong></strong><br>
</div>",Asfi,,Oil Diffuser,"['Candles & Diffusers', 'Decor']",TRUE,Active,,,Color,Beige,,Size,Large,,,,,45.00,,,TRUE,,,,,,shopify,,FALSE,0,,TRUE,manual,https://cdn.shopify.com/s/files/1/0822/4905/6550/files/PhotoRoom_018_20240128_081932.jpg?v=1706845241,1,Sergi Scented Oil Burner | Handcrafted Safi Clay Pottery – Natural Pigments & Traditional Moroccan Craftsmanship,https://cdn.shopify.com/s/files/1/0822/4905/6550/files/PhotoRoom_032_20240128_081933.jpg?v=1706845638,FALSE,Sergi Scented Oil Burner | Handcrafted Safi Clay Pottery – Natural Pigments & Traditional Moroccan Craftsmanship,"This Safi marvel isn't just an oil diffuser, it's a conversation starter! Handmade from Moroccan red Safi clay and decked out in a zesty color palette with snazzy Moroccan patterns, it's the perfect piece to jazz up your space and wow your guests. Size and color may vary slightly as each piece is hand-thrown and han...",,,,,,,,,,,,,,
,sergi-scented-oil-burner-handcrafted-safi-clay-pottery-natural-pigments-traditional-moroccan-craftsmanship,,,,,,,,,,,Beige,,,Small,,,,,35.00,,,TRUE,,,,,,shopify,,FALSE,0,,TRUE,manual,,,,https://cdn.shopify.com/s/files/1/0822/4905/6550/files/PhotoRoom_019_20240128_081932.jpg?v=1706845246,,,,,,,,,,,,,,,,,
,sergi-scented-oil-burner-handcrafted-safi-clay-pottery-natural-pigments-traditional-moroccan-craftsmanship,,,,,,,,,,,White,,,Large,,,,,45.00,,,TRUE,,,,,,shopify,,FALSE,0,,TRUE,manual,,,,https://cdn.shopify.com/s/files/1/0822/4905/6550/files/PhotoRoom_038_20240128_081933.jpg?v=1706845638,,,,,,,,,,,,,,,,,
,sergi-scented-oil-burner-handcrafted-safi-clay-pottery-natural-pigments-traditional-moroccan-craftsmanship,,,,,,,,,,,White,,,Small,,,,,35.00,,,TRUE,,,,,,shopify,,FALSE,0,,TRUE,manual,,,,https://cdn.shopify.com/s/files/1/0822/4905/6550/files/PhotoRoom_021_20240128_081932.jpg?v=1706845638,,,,,,,,,,,,,,,,,
,sergi-scented-oil-burner-handcrafted-safi-clay-pottery-natural-pigments-traditional-moroccan-craftsmanship,,,,,,,,,,,Black,,,Large,,,,,45.00,,,TRUE,,,,,,shopify,,FALSE,0,,TRUE,manual,,,,https://cdn.shopify.com/s/files/1/0822/4905/6550/files/PhotoRoom_033_20240128_081933.jpg?v=1706845638,,,,,,,,,,,,,,,,,
,sergi-scented-oil-burner-handcrafted-safi-clay-pottery-natural-pigments-traditional-moroccan-craftsmanship,,,,,,,,,,,Black,,,Small,,,,,35.00,,,TRUE,,,,,,shopify,,FALSE,0,,TRUE,manual,,,,https://cdn.shopify.com/s/files/1/0822/4905/6550/files/PhotoRoom_027_20240128_081932.jpg?v=1706845638,,,,,,,,,,,,,,,,,
,sergi-scented-oil-burner-handcrafted-safi-clay-pottery-natural-pigments-traditional-moroccan-craftsmanship,,,,,,,,,,,Burgundy,,,Large,,,,,45.00,,,TRUE,,,,,,shopify,,FALSE,0,,TRUE,manual,,,,https://cdn.shopify.com/s/files/1/0822/4905/6550/files/PhotoRoom_024_20240128_081932.jpg?v=1706845638,,,,,,,,,,,,,,,,,
,sergi-scented-oil-burner-handcrafted-safi-clay-pottery-natural-pigments-traditional-moroccan-craftsmanship,,,,,,,,,,,Burgundy,,,Small,,,,,35.00,,,TRUE,,,,,,shopify,,FALSE,0,,TRUE,manual,,,,https://cdn.shopify.com/s/files/1/0822/4905/6550/files/PhotoRoom_024_20240128_081932.jpg?v=1706845638,,,,,,,,,,,,,,,,,
,sergi-scented-oil-burner-handcrafted-safi-clay-pottery-natural-pigments-traditional-moroccan-craftsmanship,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0822/4905/6550/files/PhotoRoom_019_20240128_081932.jpg?v=1706845246,2,Sergi Scented Oil Burner | Handcrafted Safi Clay Pottery – Natural Pigments & Traditional Moroccan Craftsmanship,,,,,,,,,,,,,,,,,,
,sergi-scented-oil-burner-handcrafted-safi-clay-pottery-natural-pigments-traditional-moroccan-craftsmanship,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0822/4905/6550/files/PhotoRoom_030_20240128_081933.jpg?v=1706845638,3,Sergi Scented Oil Burner | Handcrafted Safi Clay Pottery – Natural Pigments & Traditional Moroccan Craftsmanship,,,,,,,,,,,,,,,,,,
,sergi-scented-oil-burner-handcrafted-safi-clay-pottery-natural-pigments-traditional-moroccan-craftsmanship,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0822/4905/6550/files/PhotoRoom_032_20240128_081933.jpg?v=1706845638,4,Sergi Scented Oil Burner | Handcrafted Safi Clay Pottery – Natural Pigments & Traditional Moroccan Craftsmanship,,,,,,,,,,,,,,,,,,
,sergi-scented-oil-burner-handcrafted-safi-clay-pottery-natural-pigments-traditional-moroccan-craftsmanship,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0822/4905/6550/files/PhotoRoom_031_20240128_081933.jpg?v=1706845638,5,Sergi Scented Oil Burner | Handcrafted Safi Clay Pottery – Natural Pigments & Traditional Moroccan Craftsmanship,,,,,,,,,,,,,,,,,,
,sergi-scented-oil-burner-handcrafted-safi-clay-pottery-natural-pigments-traditional-moroccan-craftsmanship,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0822/4905/6550/files/PhotoRoom_038_20240128_081933.jpg?v=1706845638,6,Sergi Scented Oil Burner | Handcrafted Safi Clay Pottery – Natural Pigments & Traditional Moroccan Craftsmanship,,,,,,,,,,,,,,,,,,
,sergi-scented-oil-burner-handcrafted-safi-clay-pottery-natural-pigments-traditional-moroccan-craftsmanship,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0822/4905/6550/files/PhotoRoom_036_20240128_081933.jpg?v=1706845638,7,Sergi Scented Oil Burner | Handcrafted Safi Clay Pottery – Natural Pigments & Traditional Moroccan Craftsmanship,,,,,,,,,,,,,,,,,,
,sergi-scented-oil-burner-handcrafted-safi-clay-pottery-natural-pigments-traditional-moroccan-craftsmanship,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0822/4905/6550/files/PhotoRoom_037_20240128_081933.jpg?v=1706845638,8,Sergi Scented Oil Burner | Handcrafted Safi Clay Pottery – Natural Pigments & Traditional Moroccan Craftsmanship,,,,,,,,,,,,,,,,,,
,sergi-scented-oil-burner-handcrafted-safi-clay-pottery-natural-pigments-traditional-moroccan-craftsmanship,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0822/4905/6550/files/PhotoRoom_021_20240128_081932.jpg?v=1706845638,9,Sergi Scented Oil Burner | Handcrafted Safi Clay Pottery – Natural Pigments & Traditional Moroccan Craftsmanship,,,,,,,,,,,,,,,,,,
